2012-08-07 15:15:02 Notice: Notice (8): Use of undefined constant honbu - assumed 'honbu' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 77]
2012-08-07 15:15:09 Notice: Notice (8): Use of undefined constant honbu - assumed 'honbu' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 68]
2012-08-07 15:15:09 Notice: Notice (8): Use of undefined constant sunshine_domain - assumed 'sunshine_domain' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 70]
2012-08-07 15:15:09 Notice: Notice (8): Use of undefined constant honbu - assumed 'honbu' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 77]
2012-08-07 15:15:11 Notice: Notice (8): Use of undefined constant honbu - assumed 'honbu' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 68]
2012-08-07 15:15:11 Notice: Notice (8): Use of undefined constant sunshine_domain - assumed 'sunshine_domain' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 70]
2012-08-07 15:15:11 Notice: Notice (8): Use of undefined constant honbu - assumed 'honbu' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 77]
2012-08-08 15:59:14 Notice: Notice (8): Use of undefined constant viewFileName - assumed 'viewFileName' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/cake/libs/view/view.php, line 429]
2012-08-08 16:33:56 Notice: Notice (2): is_file() [<a href='http://php.net/function.is-file'>function.is-file</a>]: open_basedir restriction in effect. File(/users/lists) is not within the allowed path(s): (/var/www/vhosts/cinemasunshine.co.jp/httpdocs:/tmp) in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/cake/libs/view/view.php, line 860]
2012-08-08 16:33:57 Notice: Notice (2): is_file() [<a href='http://php.net/function.is-file'>function.is-file</a>]: open_basedir restriction in effect. File(/users/lists) is not within the allowed path(s): (/var/www/vhosts/cinemasunshine.co.jp/httpdocs:/tmp) in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/cake/libs/view/view.php, line 860]
2012-08-08 16:33:57 Notice: Notice (2): is_file() [<a href='http://php.net/function.is-file'>function.is-file</a>]: open_basedir restriction in effect. File(/users/lists) is not within the allowed path(s): (/var/www/vhosts/cinemasunshine.co.jp/httpdocs:/tmp) in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/cake/libs/view/view.php, line 860]
2012-08-20 09:26:44 Notice: Notice (8): Use of undefined constant motion - assumed 'motion' in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/layouts/default.ctp, line 78]
2012-08-20 11:05:36 Notice: Notice (8): Undefined index:  mo_code in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/roadshows_controller.php, line 72]
2012-08-20 11:15:24 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/roadshows/add.ctp, line 37]
2012-08-20 11:15:39 Notice: Notice (8): Undefined index:  mo_code in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/roadshows_controller.php, line 72]
2012-08-20 11:17:16 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/roadshows/add.ctp, line 37]
2012-08-20 11:18:35 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/roadshows/add.ctp, line 37]
2012-08-20 11:31:51 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/roadshows/add.ctp, line 37]
2012-08-20 11:49:25 Notice: Notice (8): Undefined index:  mo_code in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/roadshows_controller.php, line 73]
2012-09-10 20:00:14 Notice: Notice (8): Undefined variable: viewResultArray in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/news_controller.php, line 426]
2012-09-10 20:03:59 Notice: Notice (8): Undefined variable: viewResultArray in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/news_controller.php, line 426]
2012-09-10 20:28:05 Notice: Notice (8): Undefined variable: insertDataArray in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/controllers/news_controller.php, line 395]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  8 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  6 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  2 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  1 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  12 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
2013-02-18 23:04:00 Notice: Notice (8): Undefined index:  4 in [/var/www/vhosts/cinemasunshine.co.jp/httpdocs/cine_cms/app/views/maeuris/result.ctp, line 31]
